steamid,player_name,team_clan_name,map_count,tapd_ct,tapd_t,tapd_overall,oap_ct,oap_t,oap_overall,podt_ct,podt_t,podt_overall,pokt_ct,pokt_t,pokt_overall,adnt_rank_ct,adnt_rank_t,adnt_rank_overall,adat_rank_ct,adat_rank_t,adat_rank_overall,role_overall,role_t,role_ct
76561198041683378,NiKo,G2 Esports,158,60.95289320189393,59.136540293342016,60.13599979353059,24.74596533173939,24.09342347879533,24.424242424242426,21.020276020276018,24.857740852592457,22.507740153122143,17.051295225950597,21.586555469763507,19.197995459813217,0.5624925462134764,0.6211992731677772,0.5930889423076924,0.5475253428741801,0.6953361599030891,0.6160456730769232,Lurker,Spacetaker,Rotator
76561198012872053,huNter,G2 Esports,158,62.04868463203193,62.87166133420196,62.58979977251813,16.852540272614622,14.807692307692308,15.847511027095148,21.585197747988445,27.99477206957522,24.69674677622487,17.19551633684013,27.18089384200832,22.538283837646972,0.4808586762075134,0.6430042398546336,0.571875,0.40608228980322003,0.6150211992731678,0.45510817307692314,Flex,Lurker,Rotator
76561198074762801,m0NESY,G2 Esports,155,62.786552942574595,66.6325944860384,64.36251873784647,23.914373088685014,17.754077791718945,20.873335397956023,19.122380847562447,23.094639703106946,21.473107856156684,17.397468837631433,26.42317838064125,21.056273859260866,0.5777845036319612,0.4237330037082818,0.45302752293577986,0.5156174334140436,0.40988875154511745,0.42764525993883795,AWPer,AWPer,AWPer
76561197991272318,ropz,FaZe Clan,152,60.42612603265904,63.51267264432961,61.92021442180072,21.540388227927362,14.302884615384615,17.847286108555657,16.963511420828493,18.861504247235107,17.693378145995272,16.100629802207994,24.55644490285203,19.642002632846733,0.7139024390243902,0.8718097447795824,0.8362663495838288,0.7610975609756098,0.8793503480278422,0.8306183115338883,Lurker,Lurker,Anchor
76561197997351207,rain,FaZe Clan,152,60.34611411105247,57.04993437972309,58.52875536940673,19.451219512195124,26.798143851508122,23.21640903686088,19.685025171305657,26.76440602415996,23.81589109714035,12.625639982526637,22.55024394005218,18.213102821053795,0.6075609756097562,0.6477958236658933,0.6344827586206897,0.6060975609756097,0.6169373549883992,0.6236623067776457,Flex,Half-Lurker,Mixed
76561198068422762,frozen,FaZe Clan,152,59.439572847916786,59.51575361369263,59.556020903458005,22.103274559193956,20.06024096385542,21.059113300492612,21.223558792156354,25.415550455772095,23.10603883663229,15.73346586061794,28.086811599717635,21.523583971392693,0.46463414634146344,0.584570765661253,0.5038644470868014,0.4918292682926829,0.5918793503480279,0.5258026159334127,Lurker,Half-Lurker,Rotator
76561198201620490,broky,FaZe Clan,152,62.96643916328844,64.66258134407967,63.60698472173765,16.927083333333332,11.772151898734178,14.313222079589217,17.783529140236457,25.747650937616132,22.046080537690333,18.890940271657914,28.79568360153866,22.93030712271627,0.5247560975609756,0.3069605568445476,0.36932223543400716,0.5357317073170732,0.34733178654292346,0.41700356718192627,AWPer,AWPer,AWPer
76561197989430253,karrigan,FaZe Clan,152,55.00977525884788,54.317569900365896,54.45539117660919,22.317073170731707,29.06032482598608,25.772889417360286,18.52353591530421,28.802584235482023,23.95344340001731,14.602028998818811,17.606033918388906,16.530338110074844,0.6891463414634147,0.588863109048724,0.656064209274673,0.6052439024390244,0.5645011600928075,0.6029131985731272,IGL,Spacetaker,Mixed
76561198246607476,b1t,Natus Vincere,144,59.13686140542651,61.71123813830845,60.941018383683215,22.310756972111555,21.607717041800644,21.95360993139497,19.427304935501656,26.454471925809504,23.069018725246146,14.633668560090932,20.793680794664308,17.66084013803224,0.7906885245901639,0.703312101910828,0.8010339256865914,0.808,0.7292993630573248,0.8507269789983845,Lurker,Lurker,Anchor
76561198013243326,Aleksib,Natus Vincere,144,62.15593895295141,60.52030607449323,61.58954768988901,16.060806345009915,20.063897763578275,18.09616634178038,19.452368578598087,26.194356775566963,22.791875084916487,17.243542250099626,23.687145656890877,19.962556725375055,0.7214426229508197,0.48280254777070064,0.6050403877221325,0.7029508196721311,0.3570700636942675,0.5807431340872375,IGL,Spacetaker,Mixed
